,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,estimated_occupancy_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,price_per_room,rating_q1
1,12/11/2017,within an hour,100%,100%,f,Bondi,9,14,"['email', 'phone']",t,t,Waverley,-33.89464,151.26206,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Refrigerator"", ""Kitchen"", ""Washer"", ""Dryer"", ""Hangers"", ""Exterior security cameras on property"", ""Hair dryer"", ""Fire extinguisher"", ""Air conditioning"", ""TV"", ""Heating"", ""Host greets you"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Wifi"", ""Shampoo"", ""Private entrance""]",2,1114,2,3,1114,1114,2,t,29,52,82,328,22,9,0,54,13/12/2021,6/04/2025,4.68,4.64,4.5,4.86,4.82,4.91,4.41,t,0.51,220,0
2,29/05/2015,within an hour,100%,82%,f,Woollahra,2,2,['phone'],t,t,Woollahra,-33.88738,151.24388,Private room in rental unit,Private room,2,1,1 shared bath,1,1,"[""Conditioner"", ""Refrigerator"", ""Kitchen"", ""Washer"", ""Free street parking"", ""Shower gel"", ""Dishes and silverware"", ""Cleaning products"", ""Hangers"", ""Body soap"", ""Extra pillows and blankets"", ""Hair dryer"", ""Bed linens"", ""Bathtub"", ""Clothing storage"", ""Hot water"", ""TV"", ""Heating"", ""Coffee maker"", ""Essentials"", ""Books and reading material"", ""Iron"", ""Smoke alarm"", ""Wifi"", ""Shampoo"", ""First aid kit""]",1,1125,1,1,1125,1125,1,t,27,42,42,42,19,4,0,24,7/10/2019,25/01/2025,4.95,5,4.74,5,5,4.95,4.89,f,0.27,104,0
3,26/08/2016,within an hour,100%,100%,f,,78,149,"['email', 'phone']",t,t,Warringah,-33.78377274,151.2663854,Entire rental unit,Entire home/apt,4,1,1 bath,1,2,"[""Kitchen"", ""Smoke alarm"", ""Washer"", ""TV"", ""Fire extinguisher"", ""Free parking on premises"", ""Dedicated workspace"", ""Wifi"", ""Air conditioning""]",90,1125,1,2,1125,1125,2,t,0,0,0,0,15,15,0,255,20/12/2024,13/05/2025,4.93,4.93,4.73,4.87,4.93,4.93,4.87,t,2.5,150,0
4,23/01/2015,N/A,N/A,N/A,f,,1,1,"['email', 'phone']",t,t,Ashfield,-33.88883,151.11599,Private room in rental unit,Private room,2,1,1 private bath,1,1,"[""Conditioner"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free dryer \u2013 In unit"", ""Free street parking"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Blender"", ""Hangers"", ""Body soap"", ""Exterior security cameras on property"", ""Lock on bedroom door"", ""Room-darkening shades"", ""Elevator"", ""Free parking on premises"", ""Hair dryer"", ""Fire extinguisher"", ""Coffee maker: espresso machine, french press"", ""Private patio or balcony"", ""Air conditioning"", ""Oven"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Dedicated workspace"", ""Sound system"", ""Wine glasses"", ""Window guards"", ""Essentials"", ""Freezer"", ""Lockbox"", ""Cleaning available during stay"", ""Books and reading material"", ""Luggage dropoff allowed"", ""Iron"", ""Smoke alarm"", ""Dining table"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Coffee"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""Long term stays allowed""]",1,200,1,1,200,200,1,t,5,35,65,216,27,26,3,156,15/06/2024,3/06/2025,4.93,4.93,4.78,4.93,4.96,4.81,4.81,f,2.2,117,1
5,11/11/2019,within an hour,100%,100%,f,Mosman,2,2,"['email', 'phone']",t,t,Mosman,-33.82878,151.24049,Entire bungalow,Entire home/apt,3,1,1 bath,2,2,"[""Conditioner"", ""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Free street parking"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Cleaning products"", ""Dryer"", ""Hangers"", ""Body soap"", ""Extra pillows and blankets"", ""Miele Convection/Microwave single oven"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Fire extinguisher"", ""Private patio or balcony"", ""Stove"", ""Clothing storage"", ""Hot water"", ""TV"", ""Outdoor dining area"", ""Dedicated workspace"", ""Wine glasses"", ""Essentials"", ""Freezer"", ""Toaster"", ""Books and reading material"", ""Baking sheet"", ""Iron"", ""Smoke alarm"", ""Dining table"", ""Cooking basics"", ""Coffee"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""First aid kit"", ""Private entrance""]",3,7,3,3,7,7,3,t,20,50,80,81,10,3,0,18,5/01/2020,29/04/2025,5,4.8,5,5,5,5,5,f,0.15,112.5,1
6,15/12/2014,a few days or more,0%,100%,f,Bronte,2,5,"['email', 'phone']",t,t,Waverley,-33.89833,151.26092,Entire rental unit,Entire home/apt,4,1,1 bath,2,2,"[""Smoking allowed"", ""Kitchen"", ""Washer"", ""Pets allowed"", ""Hangers"", ""Breakfast"", ""Free parking on premises"", ""Hair dryer"", ""Fire extinguisher"", ""Smart lock"", ""Self check-in"", ""TV"", ""Heating"", ""Essentials"", ""Iron"", ""Smoke alarm"", ""Wifi"", ""Shampoo"", ""First aid kit"", ""Private entrance""]",90,1125,90,90,1125,1125,90,t,28,58,88,269,2,0,0,0,31/12/2018,2/01/2020,4,4,4.5,5,3,5,5,t,0.03,78.5,0
7,16/07/2024,within a few hours,81%,76%,f,,49,84,"['email', 'phone']",t,t,Strathfield,-33.86536246,151.0877626,Entire rental unit,Entire home/apt,6,2,2 baths,3,3,"[""Conditioner"", ""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Washer"", ""Microwave"", ""Shower gel"", ""Dishes and silverware"", ""Dryer"", ""Body soap"", ""Free parking on premises"", ""Bed linens"", ""Stove"", ""Air conditioning"", ""Oven"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Essentials"", ""Freezer"", ""Lockbox"", ""Toaster"", ""Smoke alarm"", ""Dining table"", ""Patio or balcony"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Hot water kettle"", ""Long term stays allowed""]",1,365,1,1,365,365,1,t,23,51,78,79,4,4,0,24,11/09/2024,22/11/2024,4,3.75,4.5,3.25,4.5,4.25,3.25,f,0.43,83.33,0
8,23/05/2012,within a few hours,100%,91%,t,Bondi Beach,117,175,"['email', 'phone']",t,t,Randwick,-33.917789,151.257629,Entire rental unit,Entire home/apt,2,1,1 bath,1,1,"[""Conditioner"", ""Ceiling fan"", ""Refrigerator"", ""Dishwasher"", ""Kitchen"", ""Microwave"", ""Free dryer \u2013 In unit"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Shower gel"", ""Dishes and silverware"", ""Beach view"", ""Cleaning products"", ""Hangers"", ""Paid standalone high chair - available upon request"", ""Body soap"", ""Keypad"", ""Exterior security cameras on property"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Clothing storage: wardrobe"", ""Fire extinguisher"", ""Free parking garage on premises \u2013 1 space"", ""Private patio or balcony"", ""Stove"", ""Air conditioning"", ""Beach essentials"", ""Free washer \u2013 In unit"", ""Oven"", ""Self check-in"", ""Hot water"", ""TV"", ""Outdoor dining area"", ""Heating"", ""Dedicated workspace"", ""Wine glasses"", ""Coffee maker"", ""Essentials"", ""Freezer"", ""Toaster"", ""Iron"", ""Smoke alarm"", ""Dining table"", ""Paid pack \u2019n play/travel crib - available upon request"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wifi"", ""Hot water kettle"", ""Long term stays allowed"", ""Shared beach access"", ""Private entrance""]",5,89,5,89,1125,1125,36.5,t,28,58,88,244,23,8,0,80,4/04/2022,5/05/2025,4.83,4.74,4.87,4.57,4.74,4.96,4.43,f,0.59,237,0
9,27/08/2023,within an hour,100%,100%,f,,1,1,['phone'],t,t,Ryde,-33.78935,151.09195,Entire home,Entire home/apt,2,1,1 bath,1,1,"[""Portable fans"", ""Kitchen"", ""Microwave"", ""Gas stove"", ""Free dryer \u2013 In unit"", ""Free street parking"", ""Paid crib - available upon request"", ""Dishes and silverware"", ""Pets allowed"", ""Hangers"", ""Body soap"", ""Exterior security cameras on property"", ""Room-darkening shades"", ""Hair dryer"", ""Air conditioning"", ""Clothing storage"", ""Self check-in"", ""Hot water"", ""TV"", ""Trash compactor"", ""Heating"", ""Dedicated workspace"", ""Mini fridge"", ""Wine glasses"", ""Essentials"", ""Freezer"", ""Lockbox"", ""Toaster"", ""Iron"", ""Smoke alarm"", ""Dining table"", ""Single level home"", ""Cooking basics"", ""Wifi"", ""Shampoo"", ""Long term stays allowed"", ""Private entrance""]",1,365,1,1,365,365,1,t,19,49,79,80,4,4,1,24,21/04/2025,31/05/2025,5,4.25,4.75,4.5,5,5,4.5,t,2.07,150,1
10,5/05/2016,within an hour,100%,99%,f,,26,61,"['email', 'phone', 'work_email']",t,t,Marrickville,-33.90534,151.17982,Entire rental unit,Entire home/apt,2,1,1 bath,0,1,"[""Conditioner"", ""Ceiling fan"", ""Smoking allowed"", ""Kitchen"", ""Washer"", ""Free street parking"", ""Outdoor furniture"", ""Shower gel"", ""Pets allowed"", ""Cleaning products"", ""Dryer"", ""Hangers"", ""BBQ grill"", ""Body soap"", ""Extra pillows and blankets"", ""Elevator"", ""Hair dryer"", ""Bed linens"", ""Clothing storage"", ""Self check-in"", ""Hot water"", ""TV"", ""Heating"", ""Dedicated workspace"", ""Essentials"", ""Lockbox"", ""Smoke alarm"", ""Patio or balcony"", ""Carbon monoxide alarm"", ""Cooking basics"", ""Wifi"", ""Shampoo""]",5,365,1,5,365,365,4.9,t,26,41,41,41,30,7,2,70,11/07/2023,15/06/2025,4.6,4.47,4.57,4.83,4.93,4.77,4.4,t,1.27,132,0
